T26,Population employed in research and development (R&D),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
8,Albania,2008,R & D personnel: Total (number in full-time equivalent),779,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
8,Albania,2008,R & D personnel: Researchers - total (number in full-time equivalent),467,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
8,Albania,2008,R & D personnel: Researchers - women (number in full-time equivalent),207,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
8,Albania,2008,R & D personnel: Technicians - total (number in full-time equivalent),120,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
8,Albania,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),192,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
12,Algeria,2005,R & D personnel: Total (number in full-time equivalent),"7,331",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
12,Algeria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,593",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
12,Algeria,2005,R & D personnel: Researchers - women (number in full-time equivalent),"2,043",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
12,Algeria,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,134",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
12,Algeria,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),604,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
16,American Samoa,2005,R & D personnel: Total (number in full-time equivalent),6,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
16,American Samoa,2005,R & D personnel: Researchers - total (number in full-time equivalent),6,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
24,Angola,2011,R & D personnel: Total (number in full-time equivalent),"2,038",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
24,Angola,2011,R & D personnel: Researchers - total (number in full-time equivalent),"1,150",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
24,Angola,2011,R & D personnel: Researchers - women (number in full-time equivalent),320,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
