Region,Country_code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,80-84,85-89,90-94,95-99,100+
Nigeria,566,1950,  3 101,  2 499,  2 161,  1 879,  1 638,  1 429,  1 232,  1 037,888,762,685,569,437,310,196,102,48,?,?,?,?,?
Nigeria,566,1955,  3 352,  2 704,  2 385,  2 082,  1 785,  1 544,  1 343,  1 154,968,827,700,610,477,329,196,94,40,?,?,?,?,?
Nigeria,566,1960,  3 755,  2 957,  2 590,  2 304,  1 985,  1 690,  1 457,  1 263,  1 082,905,762,627,516,364,214,98,38,?,?,?,?,?
Nigeria,566,1965,  4 231,  3 356,  2 843,  2 510,  2 206,  1 888,  1 602,  1 377,  1 190,  1 016,840,689,537,402,244,112,42,?,?,?,?,?
Nigeria,566,1970,  4 753,  3 812,  3 236,  2 759,  2 408,  2 102,  1 794,  1 519,  1 302,  1 122,946,762,594,423,274,131,51,?,?,?,?,?
Nigeria,566,1975,  5 571,  4 326,  3 687,  3 148,  2 656,  2 303,  2 005,  1 707,  1 441,  1 232,  1 049,864,664,476,296,153,63,?,?,?,?,?
Nigeria,566,1980,  6 567,  5 148,  4 225,  3 630,  3 093,  2 611,  2 256,  1 949,  1 646,  1 382,  1 168,969,761,540,340,170,78,?,?,?,?,?
Nigeria,566,1985,  7 468,  6 059,  4 991,  4 104,  3 477,  2 936,  2 473,  2 140,  1 851,  1 559,  1 296,  1 074,857,624,391,200,91,?,?,?,?,?
Nigeria,566,1990,  8 245,  6 911,  5 894,  4 875,  3 971,  3 344,  2 818,  2 369,  2 045,  1 762,  1 469,  1 196,950,703,452,230,?,85,19,2,0,0
Nigeria,566,1995,  9 118,  7 628,  6 722,  5 757,  4 716,  3 819,  3 210,  2 699,  2 264,  1 947,  1 660,  1 355,  1 058,780,509,266,?,98,23,3,0,0
Nigeria,566,2000,  10 332,  8 460,  7 401,  6 555,  5 558,  4 526,  3 657,  3 067,  2 572,  2 149,  1 829,  1 525,  1 191,859,556,293,?,109,25,3,0,0
Nigeria,566,2005,  11 904,  9 670,  8 188,  7 206,  6 312,  5 316,  4 319,  3 482,  2 912,  2 435,  2 012,  1 673,  1 332,957,603,313,?,117,27,3,0,0
Nigeria,566,2010,  13 535,  11 283,  9 386,  7 985,  6 951,  6 050,  5 085,  4 124,  3 317,  2 766,  2 287,  1 849,  1 473,  1 085,686,350,?,130,30,4,0,0
Nigeria,566,2015,  15 174,  12 924,  10 988,  9 174,  7 725,  6 683,  5 805,  4 872,  3 942,  3 161,  2 609,  2 114,  1 642,  1 214,791,407,?,149,35,4,0,0
China,156,1950,  36 834,  26 816,  25 333,  24 439,  21 572,  19 977,  19 584,  17 817,  15 600,  14 082,  11 367,  10 567,  8 550,  6 806,  4 041,  2 234,  1 061,?,?,?,?,?
China,156,1955,  49 711,  34 203,  25 986,  24 746,  23 815,  20 878,  19 194,  18 732,  16 791,  14 451,  12 982,  10 287,  8 857,  6 388,  4 534,  2 164,  1 158,?,?,?,?,?
China,156,1960,  46 502,  46 355,  33 265,  25 453,  24 193,  23 133,  20 110,  18 366,  17 768,  15 786,  13 405,  11 671,  8 620,  6 644,  4 178,  2 307,928,?,?,?,?,?
China,156,1965,  55 486,  43 221,  45 050,  32 526,  24 777,  23 438,  22 266,  19 217,  17 409,  16 711,  14 648,  12 044,  9 821,  6 534,  4 400,  2 274,  1 159,?,?,?,?,?
China,156,1970,  65 770,  53 517,  42 799,  44 663,  32 136,  24 408,  23 005,  21 744,  18 640,  16 725,  15 823,  13 576,  10 777,  8 307,  5 100,  2 916,  1 559,?,?,?,?,?
China,156,1975,  61 024,  64 227,  53 076,  42 540,  44 325,  31 821,  24 122,  22 679,  21 340,  18 176,  16 133,  14 953,  12 402,  9 341,  6 622,  3 484,  2 104,?,?,?,?,?
China,156,1980,  48 756,  60 070,  63 848,  52 867,  42 332,  44 048,  31 572,  23 888,  22 392,  20 973,  17 687,  15 452,  13 933,  11 021,  7 612,  4 653,  2 707,?,?,?,?,?
China,156,1985,  51 343,  48 237,  59 799,  63 626,  52 623,  42 092,  43 746,  31 304,  23 624,  22 050,  20 477,  17 030,  14 510,  12 561,  9 210,  5 510,  3 707,?,?,?,?,?
China,156,1990,  64 221,  50 866,  48 061,  59 604,  63 340,  52 335,  41 817,  43 410,  30 997,  23 305,  21 600,  19 832,  16 094,  13 153,  10 595,  6 824,?,  3 335,  1 193,241,32,3
China,156,1995,  48 842,  63 720,  50 717,  47 902,  59 326,  63 000,  52 011,  41 516,  43 018,  30 598,  22 845,  20 935,  18 790,  14 663,  11 169,  8 022,?,  4 296,  1 545,374,49,5
China,156,2000,  38 289,  48 524,  63 569,  50 579,  47 706,  59 052,  62 671,  51 689,  41 180,  42 526,  30 055,  22 199,  19 907,  17 249,  12 630,  8 566,?,  5 137,  2 063,517,82,7
China,156,2005,  36 769,  38 103,  48 410,  63 356,  50 285,  47 394,  58 695,  62 272,  51 273,  40 730,  41 843,  29 293,  21 232,  18 420,  15 018,  9 882,?,  5 629,  2 591,748,122,13
China,156,2010,  38 106,  36 640,  38 016,  48 212,  62 990,  49 938,  47 075,  58 321,  61 808,  50 755,  40 139,  40 913,  28 166,  19 788,  16 182,  11 921,?,  6 706,  2 988,998,189,22
China,156,2015,  39 795,  38 008,  36 569,  37 864,  47 942,  62 668,  49 656,  46 797,  57 937,  61 271,  50 104,  39 303,  39 405,  26 281,  17 425,  12 937,?,  8 185,  3 628,  1 183,271,38
Japan,392,1950,  5 487,  4 662,  4 269,  4 211,  3 890,  3 363,  2 842,  2 672,  2 284,  1 965,  1 654,  1 363,  1 182,969,736,411,240,?,?,?,?,?
Japan,392,1955,  4 658,  5 378,  4 638,  4 246,  4 165,  3 831,  3 307,  2 790,  2 615,  2 223,  1 892,  1 567,  1 258,  1 040,785,523,328,?,?,?,?,?
Japan,392,1960,  3 896,  4 607,  5 359,  4 617,  4 207,  4 118,  3 784,  3 262,  2 745,  2 560,  2 155,  1 808,  1 463,  1 126,859,567,431,?,?,?,?,?
Japan,392,1965,  3 988,  3 874,  4 570,  5 325,  4 589,  4 183,  4 090,  3 752,  3 225,  2 701,  2 497,  2 075,  1 704,  1 327,950,635,499,?,?,?,?,?
Japan,392,1970,  4 396,  4 015,  3 921,  4 565,  5 321,  4 606,  4 200,  4 097,  3 742,  3 204,  2 666,  2 435,  1 986,  1 577,  1 152,728,594,?,?,?,?,?
Japan,392,1975,  4 957,  4 395,  4 021,  3 924,  4 577,  5 356,  4 630,  4 216,  4 093,  3 725,  3 171,  2 614,  2 351,  1 862,  1 400,915,729,?,?,?,?,?
Japan,392,1980,  4 197,  4 947,  4 402,  4 028,  3 916,  4 566,  5 340,  4 611,  4 190,  4 055,  3 694,  3 121,  2 543,  2 233,  1 690,  1 156,969,?,?,?,?,?
Japan,392,1985,  3 718,  4 191,  4 944,  4 401,  4 027,  3 913,  4 557,  5 323,  4 588,  4 158,  4 005,  3 627,  3 033,  2 425,  2 054,  1 442,  1 334,?,?,?,?,?
Japan,392,1990,  3 300,  3 713,  4 188,  4 923,  4 331,  3 980,  3 915,  4 540,  5 295,  4 556,  4 113,  3 941,  3 539,  2 915,  2 264,  1 807,?,  1 120,528,158,25,2
Japan,392,1995,  2 987,  3 296,  3 711,  4 208,  4 941,  4 324,  3 972,  3 904,  4 521,  5 260,  4 501,  4 045,  3 847,  3 412,  2 742,  2 023,?,  1 455,735,247,44,3
Japan,392,2000,  2 898,  2 984,  3 294,  3 709,  4 135,  4 933,  4 316,  3 962,  3 889,  4 493,  5 220,  4 446,  3 968,  3 729,  3 238,  2 496,?,  1 690,  1 028,386,82,7
Japan,392,2005,  2 758,  2 895,  2 983,  3 292,  3 704,  4 129,  4 925,  4 305,  3 947,  3 868,  4 483,  5 171,  4 379,  3 868,  3 567,  2 994,?,  2 151,  1 266,596,148,17
Japan,392,2010,  2 702,  2 756,  2 894,  2 981,  3 288,  3 699,  4 133,  4 933,  4 323,  3 970,  3 847,  4 437,  5 089,  4 274,  3 717,  3 322,?,  2 621,  1 652,762,238,32
Japan,392,2015,  2 625,  2 705,  2 759,  2 911,  2 991,  3 295,  3 716,  4 163,  4 928,  4 313,  3 951,  3 811,  4 370,  4 971,  4 120,  3 486,?,  2 934,  2 040,  1 004,305,51
India,356,1950,  26 838,  22 005,  20 832,  18 852,  16 511,  14 497,  12 871,  11 277,  9 879,  7 784,  6 868,  4 753,  4 243,  2 385,  1 803,  1 059,760,?,?,?,?,?
India,356,1955,  32 326,  24 052,  21 046,  20 017,  17 942,  15 555,  13 522,  11 872,  10 277,  8 866,  6 838,  5 848,  3 851,  3 194,  1 620,  1 061,769,?,?,?,?,?
India,356,1960,  35 376,  29 315,  23 127,  20 347,  19 211,  17 067,  14 652,  12 595,  10 927,  9 319,  7 886,  5 919,  4 831,  2 961,  2 222,982,814,?,?,?,?,?
India,356,1965,  38 733,  32 387,  28 315,  22 508,  19 729,  18 481,  16 251,  13 793,  11 722,  10 026,  8 403,  6 942,  4 976,  3 770,  2 099,  1 386,823,?,?,?,?,?
India,356,1970,  41 946,  35 764,  31 455,  27 704,  21 930,  19 101,  17 769,  15 501,  13 049,  10 957,  9 210,  7 533,  5 941,  3 952,  2 729,  1 343,  1 065,?,?,?,?,?
India,356,1975,  45 947,  39 202,  35 067,  31 056,  27 275,  21 524,  18 642,  17 231,  14 941,  12 456,  10 279,  8 420,  6 579,  4 839,  2 941,  1 793,  1 164,?,?,?,?,?
India,356,1980,  50 184,  43 359,  38 559,  34 653,  30 546,  26 749,  21 074,  18 203,  16 752,  14 413,  11 828,  9 520,  7 466,  5 473,  3 689,  1 968,  1 476,?,?,?,?,?
India,356,1985,  55 639,  47 786,  42 711,  38 120,  34 084,  29 976,  26 237,  20 644,  17 764,  16 230,  13 753,  11 009,  8 481,  6 238,  4 185,  2 471,  1 709,?,?,?,?,?
India,356,1990,  58 581,  53 371,  47 120,  42 228,  37 485,  33 453,  29 431,  25 738,  20 182,  17 246,  15 523,  12 832,  9 837,  7 103,  4 770,  2 802,?,  1 393,501,156,27,4
India,356,1995,  59 398,  56 596,  52 742,  46 632,  41 573,  36 842,  32 905,  28 935,  25 233,  19 663,  16 581,  14 595,  11 613,  8 397,  5 572,  3 312,?,  1 656,666,183,40,5
India,356,2000,  60 605,  57 772,  56 054,  52 265,  45 995,  40 944,  36 309,  32 414,  28 435,  24 660,  18 997,  15 702,  13 362,  10 088,  6 743,  4 000,?,  2 045,836,256,49,7
India,356,2005,  61 302,  59 291,  57 260,  55 538,  51 532,  45 279,  40 351,  35 779,  31 874,  27 819,  23 879,  18 057,  14 449,  11 684,  8 155,  4 881,?,  2 490,  1 036,322,69,9
