Region,Country_code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,80-84,85-89,90-94,95-99,100+
Nigeria,566,1950,  3 229,  2 583,  2 226,  1 930,  1 673,  1 445,  1 232,  1 020,859,717,632,503,364,242,141,66,26,?,?,?,?,?
Nigeria,566,1955,  3 402,  2 793,  2 457,  2 138,  1 825,  1 568,  1 353,  1 150,942,782,639,543,405,264,147,65,24,?,?,?,?,?
Nigeria,566,1960,  3 830,  2 982,  2 668,  2 368,  2 030,  1 719,  1 476,  1 270,  1 068,862,701,553,443,299,166,71,25,?,?,?,?,?
Nigeria,566,1965,  4 337,  3 407,  2 860,  2 579,  2 258,  1 923,  1 627,  1 393,  1 187,985,780,613,457,333,193,83,29,?,?,?,?,?
Nigeria,566,1970,  4 889,  3 891,  3 276,  2 768,  2 464,  2 143,  1 823,  1 538,  1 306,  1 099,895,686,512,349,220,100,35,?,?,?,?,?
Nigeria,566,1975,  5 757,  4 429,  3 755,  3 180,  2 655,  2 349,  2 041,  1 731,  1 449,  1 216,  1 004,794,579,396,236,118,45,?,?,?,?,?
Nigeria,566,1980,  6 806,  5 300,  4 317,  3 707,  3 146,  2 634,  2 336,  2 008,  1 668,  1 376,  1 132,904,678,456,274,130,56,?,?,?,?,?
Nigeria,566,1985,  7 757,  6 259,  5 129,  4 173,  3 520,  2 959,  2 464,  2 193,  1 888,  1 554,  1 262,  1 013,774,538,320,155,65,?,?,?,?,?
Nigeria,566,1990,  8 564,  7 155,  6 077,  4 999,  4 024,  3 378,  2 835,  2 355,  2 082,  1 773,  1 434,  1 133,869,615,377,181,?,63,13,1,0,0
Nigeria,566,1995,  9 474,  7 894,  6 947,  5 923,  4 822,  3 862,  3 237,  2 710,  2 235,  1 955,  1 637,  1 289,972,690,431,213,?,73,15,2,0,0
Nigeria,566,2000,  10 751,  8 758,  7 645,  6 760,  5 709,  4 628,  3 700,  3 092,  2 571,  2 097,  1 803,  1 469,  1 103,770,482,242,?,85,18,2,0,0
Nigeria,566,2005,  12 422,  10 028,  8 460,  7 423,  6 499,  5 467,  4 421,  3 525,  2 927,  2 406,  1 929,  1 613,  1 252,869,533,268,?,95,20,2,0,0
Nigeria,566,2010,  14 164,  11 739,  9 716,  8 228,  7 152,  6 242,  5 234,  4 222,  3 348,  2 751,  2 225,  1 738,  1 389,  1 001,614,305,?,110,24,3,0,0
Nigeria,566,2015,  15 935,  13 494,  11 414,  9 475,  7 947,  6 882,  5 990,  5 012,  4 023,  3 159,  2 556,  2 017,  1 509,  1 123,718,358,?,128,28,3,0,0
China,156,1950,  39 674,  30 581,  29 492,  27 806,  24 689,  21 733,  21 548,  19 319,  16 548,  14 962,  12 256,  10 718,  8 000,  5 635,  2 927,  1 402,451,?,?,?,?,?
China,156,1955,  52 885,  36 661,  29 423,  28 624,  26 933,  23 884,  20 988,  20 674,  18 205,  15 107,  13 260,  10 430,  8 327,  5 488,  3 277,  1 275,517,?,?,?,?,?
China,156,1960,  49 388,  49 205,  35 522,  28 668,  27 803,  26 100,  23 086,  20 153,  19 545,  16 779,  13 430,  11 085,  7 936,  5 626,  3 042,  1 268,366,?,?,?,?,?
China,156,1965,  59 224,  45 883,  47 677,  34 564,  27 797,  26 934,  25 208,  22 137,  19 045,  18 038,  14 932,  11 228,  8 485,  5 441,  3 197,  1 321,470,?,?,?,?,?
China,156,1970,  68 818,  56 617,  45 344,  47 193,  34 097,  27 340,  26 392,  24 587,  21 415,  18 206,  16 953,  13 602,  9 622,  6 644,  3 818,  1 909,767,?,?,?,?,?
